Nombre,Descripción,Servicios,Teléfonos,Dirección,Sitio web,Horario,Búsqueda,Localidad
GOLDA Estudio Madrid,Localizaciones y presentaciones multimedia en Madrid,,+34697746603+34649140125,"Calle Castrobarto, 10 , 28042, Madrid",http://www.alquilergoldaestudio.com/?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,", , , , , ,",informática,madrid
Fix Point Madrid,"Informática: equipos y materiales en Madrid , Informática en Madrid",,662614380,"Calle Francos Rodríguez, 46, 28039, Madrid",http://www.fxpoint.es/?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,,informática,madrid
ALVEA SOLUCIONES TEC. SL Madrid,"Informática: consultorías en Madrid , Informática en Madrid",,918270074,"Calle Condado de Treviño, 32, 28033, Madrid",,,informática,madrid
"M3d, s.l. Madrid","Informática: diseño y programación a medida (software) en Madrid , Informática en Madrid",,+34913600036+34609566048,"Calle Velázquez, 24 2ºIzquierda, 28001, Madrid",http://www.m3d.es/?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,", , , ,",informática,madrid
Quality Objects Madrid,"Informática: consultorías en Madrid , Informática en Madrid",,914066890,"Calle julian camarillo, 42 Ed. Treviso 2º Dcha, 28037, Madrid",https://qualityobjects.com/,,informática,madrid
Avatar Soluciones Informatica Madrid,"Informática: consultorías en Madrid , Informática en Madrid",,687263865,"Avenida de la Reina Victoria, 6, 28003, Madrid",https://avatarinformatica.es/,,informática,madrid
DOMOTIC MADRID Madrid,Inmótica y domótica en Madrid,,625312260,"Calle DE LA PALMA, 23, 28004, Madrid",http://www.domotic-madrid.com/?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,,informática,madrid
Sarcorem S.L. Madrid,"Informática: servicios a empresas en Madrid , Informática en Madrid",,917639264,"Calle de San Rafael, 4 , 28108, Madrid",http://www.sarcorem.org/?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,", , , ,",informática,madrid
Novabase Neotalent España Sau Madrid,"Informática: diseño y programación a medida (software) en Madrid , Informática en Madrid",,913443850,"Avenida Burgos, 12 5º PUERTA, 1, 28036, Madrid",http://neotalent.es/?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,,informática,madrid
Viso Informática Madrid,Fotocopiadoras en Madrid,Servicio a domicilio,+34914620000+34914621099,"Calle Alejandro Sánchez, 56 LOCAL 2, 28019, Madrid",http://www.visoinformatica.es/?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,", , , ,",informática,madrid
AZM Global Madrid,"Informática: consultorías en Madrid , Informática en Madrid",Servicio a domicilio,+34642604866,"Paseo De la Castellana, 123 3c, 28040, Madrid",https://azm.com.es/,,informática,madrid
"MYCLOUDDOOR SOLUTIONS, S.L. Madrid","Telecomunicación: servicios en Madrid , Telecomunicación en Madrid",,911853150,"Calle La Basílica, 19 7ºB, 28020, Madrid",http://myclouddoor.net/?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,,informática,madrid
Amperbytes Madrid,"Informática: servicios a empresas en Madrid , Informática en Madrid",,+34686494287+34601092830,"Avenida Industria, 18, 28947, Madrid",http://www.amperbytes.es/?utm_campaign=paginasamarillas&utm_source=paginasamarillas&utm_medium=referral,", , , , , , , , ,",informática,madrid
